,x,xdot,theta,theta_dot
564,-3.89,-1.06,-0.06,0.03
565,-4.00,-0.99,-0.05,0.03
566,-4.10,-0.93,-0.05,0.04
567,-4.19,-0.88,-0.04,0.04
568,-4.28,-0.83,-0.04,0.04
569,-4.36,-0.78,-0.04,0.05
570,-4.44,-0.74,-0.03,0.05
571,-4.51,-0.70,-0.03,0.06
572,-4.58,-0.66,-0.02,0.06
573,-4.65,-0.63,-0.01,0.07
574,-4.71,-0.59,-0.01,0.08
575,-4.77,-0.56,0.00,0.09
576,-4.83,-0.53,0.01,0.11
577,-4.88,-0.51,0.02,0.13
578,-4.93,-0.48,0.03,0.15
579,-4.98,-0.45,0.05,0.18
580,-5.02,-0.42,0.07,0.22
581,-5.07,-0.39,0.09,0.26
582,-5.10,-0.35,0.11,0.32
583,-5.14,-0.31,0.15,0.40
584,-5.17,-0.27,0.19,0.50
585,-5.20,-0.21,0.24,0.62
586,-5.22,-0.14,0.30,0.77
587,-5.23,-0.05,0.37,0.96
588,-5.24,0.06,0.47,1.19
589,-3.26,-1.41,-0.06,-0.00
590,-3.40,-1.34,-0.06,0.01
591,-3.53,-1.27,-0.06,0.01
592,-3.66,-1.19,-0.06,0.02
593,-3.78,-1.13,-0.06,0.02
594,-3.89,-1.06,-0.06,0.03
595,-4.00,-1.00,-0.05,0.03
596,-4.10,-0.94,-0.05,0.03
597,-4.19,-0.88,-0.05,0.04
598,-4.28,-0.83,-0.04,0.04
599,-4.36,-0.78,-0.04,0.04
600,-4.44,-0.74,-0.03,0.05
601,-4.52,-0.70,-0.03,0.05
602,-4.59,-0.66,-0.03,0.05
603,-4.65,-0.62,-0.02,0.06
604,-4.71,-0.59,-0.01,0.07
605,-4.77,-0.56,-0.01,0.08
606,-4.83,-0.53,0.00,0.09
607,-4.88,-0.50,0.01,0.10
608,-4.93,-0.48,0.02,0.12
609,-4.98,-0.45,0.03,0.14
610,-5.03,-0.42,0.04,0.17
611,-5.07,-0.40,0.06,0.20
612,-5.11,-0.37,0.08,0.25
613,-5.14,-0.34,0.11,0.31
614,-5.18,-0.30,0.14,0.38
615,-5.21,-0.25,0.18,0.47
616,-5.23,-0.20,0.22,0.58
617,-5.25,-0.13,0.28,0.72
618,-5.27,-0.05,0.35,0.90
619,-5.27,0.05,0.44,1.13
620,-3.40,-1.34,-0.06,0.01
621,-3.53,-1.27,-0.06,0.01
622,-3.66,-1.20,-0.06,0.02
623,-3.78,-1.13,-0.06,0.02
624,-3.89,-1.07,-0.06,0.02
625,-4.00,-1.00,-0.05,0.03
626,-4.10,-0.94,-0.05,0.03
627,-4.20,-0.89,-0.05,0.03
628,-4.28,-0.83,-0.04,0.04
629,-4.37,-0.79,-0.04,0.04
630,-4.45,-0.74,-0.04,0.04
631,-4.52,-0.70,-0.03,0.04
632,-4.59,-0.66,-0.03,0.05
633,-4.66,-0.62,-0.02,0.05
634,-4.72,-0.59,-0.02,0.06
635,-4.78,-0.56,-0.01,0.06
636,-4.83,-0.53,-0.01,0.07
637,-4.89,-0.50,0.00,0.08
638,-4.94,-0.48,0.01,0.09
639,-4.98,-0.45,0.02,0.11
640,-5.03,-0.43,0.03,0.13
641,-5.07,-0.40,0.04,0.16
642,-5.11,-0.38,0.06,0.19
643,-5.15,-0.35,0.08,0.24
644,-5.18,-0.32,0.10,0.29
