,x,xdot,theta,theta_dot
1060,-5.06,-0.42,-0.03,0.02
1061,-5.10,-0.40,-0.02,0.02
1062,-5.14,-0.37,-0.02,0.02
1063,-5.18,-0.35,-0.02,0.02
1064,-5.21,-0.33,-0.02,0.02
1065,-5.25,-0.31,-0.02,0.02
1066,-5.28,-0.29,-0.01,0.02
1067,-5.31,-0.28,-0.01,0.02
1068,-5.33,-0.26,-0.01,0.03
1069,-5.36,-0.25,-0.01,0.03
1070,-5.39,-0.24,-0.00,0.03
1071,-5.41,-0.22,-0.00,0.04
1072,-5.43,-0.21,0.00,0.04
1073,-5.45,-0.20,0.01,0.05
1074,-5.47,-0.19,0.01,0.06
1075,-5.49,-0.18,0.02,0.07
1076,-5.51,-0.17,0.03,0.09
1077,-5.53,-0.16,0.03,0.10
1078,-5.54,-0.14,0.04,0.13
1079,-5.56,-0.13,0.06,0.16
1080,-5.57,-0.11,0.07,0.20
1081,-5.58,-0.08,0.09,0.24
1082,-5.59,-0.06,0.12,0.30
1083,-5.59,-0.02,0.15,0.38
1084,-5.60,0.02,0.19,0.47
1085,-4.80,-0.58,-0.03,0.02
1086,-4.86,-0.54,-0.03,0.02
1087,-4.91,-0.51,-0.03,0.02
1088,-4.96,-0.48,-0.03,0.02
1089,-5.01,-0.45,-0.03,0.02
1090,-5.06,-0.43,-0.03,0.02
1091,-5.10,-0.40,-0.02,0.02
1092,-5.14,-0.38,-0.02,0.02
1093,-5.18,-0.35,-0.02,0.02
1094,-5.21,-0.33,-0.02,0.02
1095,-5.25,-0.31,-0.02,0.02
1096,-5.28,-0.30,-0.01,0.02
1097,-5.31,-0.28,-0.01,0.02
1098,-5.34,-0.26,-0.01,0.02
1099,-5.36,-0.25,-0.01,0.02
1100,-5.39,-0.24,-0.01,0.03
1101,-5.41,-0.22,-0.00,0.03
1102,-5.43,-0.21,-0.00,0.03
1103,-5.45,-0.20,0.00,0.04
1104,-5.47,-0.19,0.01,0.05
1105,-5.49,-0.18,0.01,0.06
1106,-5.51,-0.17,0.02,0.07
1107,-5.53,-0.16,0.02,0.08
1108,-5.54,-0.15,0.03,0.10
1109,-5.56,-0.13,0.04,0.12
1110,-5.57,-0.12,0.05,0.15
1111,-5.58,-0.10,0.07,0.18
1112,-5.59,-0.08,0.09,0.23
1113,-5.60,-0.05,0.11,0.29
1114,-5.61,-0.02,0.14,0.36
1115,-5.61,0.02,0.17,0.44
1116,-4.86,-0.54,-0.03,0.02
1117,-4.91,-0.51,-0.03,0.02
1118,-4.96,-0.48,-0.03,0.02
1119,-5.01,-0.46,-0.03,0.02
1120,-5.06,-0.43,-0.03,0.02
1121,-5.10,-0.40,-0.02,0.02
1122,-5.14,-0.38,-0.02,0.02
1123,-5.18,-0.36,-0.02,0.02
1124,-5.21,-0.33,-0.02,0.02
1125,-5.25,-0.31,-0.02,0.02
1126,-5.28,-0.30,-0.02,0.02
1127,-5.31,-0.28,-0.01,0.02
1128,-5.34,-0.26,-0.01,0.02
1129,-5.36,-0.25,-0.01,0.02
1130,-5.39,-0.23,-0.01,0.02
1131,-5.41,-0.22,-0.01,0.03
1132,-5.43,-0.21,-0.00,0.03
1133,-5.45,-0.20,-0.00,0.03
1134,-5.47,-0.19,0.00,0.04
1135,-5.49,-0.18,0.01,0.04
1136,-5.51,-0.17,0.01,0.05
1137,-5.53,-0.16,0.02,0.06
1138,-5.54,-0.15,0.02,0.08
1139,-5.56,-0.14,0.03,0.09
1140,-5.57,-0.13,0.04,0.11
1141,-5.59,-0.11,0.05,0.14
1142,-5.60,-0.10,0.07,0.17
1143,-5.61,-0.08,0.08,0.22
1144,-5.61,-0.05,0.10,0.27
1145,-5.62,-0.02,0.13,0.34
1146,-5.62,0.02,0.17,0.42
1147,-4.91,-0.51,-0.03,0.02
1148,-4.96,-0.48,-0.03,0.02
1149,-5.01,-0.46,-0.03,0.02
1150,-5.06,-0.43,-0.03,0.02
1151,-5.10,-0.40,-0.02,0.02
1152,-5.14,-0.38,-0.02,0.02
1153,-5.18,-0.36,-0.02,0.02
1154,-5.22,-0.34,-0.02,0.02
1155,-5.25,-0.32,-0.02,0.02
1156,-5.28,-0.30,-0.02,0.02
1157,-5.31,-0.28,-0.01,0.02
1158,-5.34,-0.26,-0.01,0.02
1159,-5.36,-0.25,-0.01,0.02
1160,-5.39,-0.23,-0.01,0.02
1161,-5.41,-0.22,-0.01,0.02
1162,-5.43,-0.21,-0.01,0.02
1163,-5.46,-0.20,-0.00,0.03
1164,-5.48,-0.19,-0.00,0.03
1165,-5.49,-0.18,0.00,0.04
1166,-5.51,-0.17,0.01,0.04
1167,-5.53,-0.16,0.01,0.05
1168,-5.55,-0.15,0.02,0.06
1169,-5.56,-0.14,0.02,0.07
1170,-5.57,-0.13,0.03,0.09
1171,-5.59,-0.12,0.04,0.11
1172,-5.60,-0.11,0.05,0.13
1173,-5.61,-0.09,0.06,0.16
1174,-5.62,-0.07,0.08,0.20
1175,-5.63,-0.05,0.10,0.25
1176,-5.63,-0.02,0.12,0.32
1177,-5.63,0.02,0.16,0.40
1178,-4.96,-0.48,-0.03,0.02
1179,-5.01,-0.46,-0.03,0.01
1180,-5.06,-0.43,-0.03,0.01
1181,-5.10,-0.41,-0.02,0.01
1182,-5.14,-0.38,-0.02,0.01
1183,-5.18,-0.36,-0.02,0.01
1184,-5.22,-0.34,-0.02,0.01
1185,-5.25,-0.32,-0.02,0.02
1186,-5.28,-0.30,-0.02,0.02
1187,-5.31,-0.28,-0.02,0.02
1188,-5.34,-0.26,-0.01,0.02
1189,-5.37,-0.25,-0.01,0.02
1190,-5.39,-0.23,-0.01,0.02
1191,-5.41,-0.22,-0.01,0.02
1192,-5.44,-0.21,-0.01,0.02
1193,-5.46,-0.20,-0.00,0.02
1194,-5.48,-0.19,-0.00,0.03
1195,-5.50,-0.18,-0.00,0.03
1196,-5.51,-0.17,0.00,0.03
1197,-5.53,-0.16,0.01,0.04
1198,-5.55,-0.15,0.01,0.05
1199,-5.56,-0.14,0.01,0.06
1200,-5.58,-0.13,0.02,0.07
1201,-5.59,-0.12,0.03,0.08
1202,-5.60,-0.11,0.04,0.10
1203,-5.61,-0.10,0.05,0.13
1204,-5.62,-0.09,0.06,0.16
1205,-5.63,-0.07,0.07,0.19
1206,-5.64,-0.05,0.09,0.24
1207,-5.64,-0.02,0.12,0.30
1208,-5.64,0.02,0.15,0.37
1209,-5.01,-0.46,-0.03,0.01
1210,-5.06,-0.43,-0.03,0.01
1211,-5.10,-0.41,-0.02,0.01
1212,-5.14,-0.38,-0.02,0.01
1213,-5.18,-0.36,-0.02,0.01
1214,-5.22,-0.34,-0.02,0.01
1215,-5.25,-0.32,-0.02,0.01
1216,-5.28,-0.30,-0.02,0.01
1217,-5.31,-0.28,-0.02,0.01
1218,-5.34,-0.26,-0.01,0.01
1219,-5.37,-0.25,-0.01,0.02
1220,-5.39,-0.23,-0.01,0.02
1221,-5.42,-0.22,-0.01,0.02
1222,-5.44,-0.21,-0.01,0.02
1223,-5.46,-0.20,-0.01,0.02
1224,-5.48,-0.19,-0.00,0.02
1225,-5.50,-0.18,-0.00,0.02
1226,-5.51,-0.17,-0.00,0.03
1227,-5.53,-0.16,0.00,0.03
1228,-5.55,-0.15,0.01,0.04
1229,-5.56,-0.14,0.01,0.04
1230,-5.58,-0.13,0.01,0.05
1231,-5.59,-0.13,0.02,0.06
1232,-5.60,-0.12,0.03,0.08
1233,-5.61,-0.11,0.03,0.10
1234,-5.62,-0.09,0.04,0.12
1235,-5.63,-0.08,0.06,0.15
1236,-5.64,-0.06,0.07,0.18
1237,-5.65,-0.04,0.09,0.23
1238,-5.65,-0.02,0.11,0.28
1239,-5.65,0.02,0.14,0.35
1240,-5.06,-0.43,-0.03,0.01
1241,-5.10,-0.41,-0.02,0.01
1242,-5.14,-0.38,-0.02,0.01
1243,-5.18,-0.36,-0.02,0.01
1244,-5.22,-0.34,-0.02,0.01
1245,-5.25,-0.32,-0.02,0.01
1246,-5.28,-0.30,-0.02,0.01
1247,-5.31,-0.28,-0.02,0.01
1248,-5.34,-0.27,-0.02,0.01
1249,-5.37,-0.25,-0.01,0.01
1250,-5.39,-0.23,-0.01,0.01
1251,-5.42,-0.22,-0.01,0.02
1252,-5.44,-0.21,-0.01,0.02
1253,-5.46,-0.20,-0.01,0.02
1254,-5.48,-0.19,-0.01,0.02
1255,-5.50,-0.18,-0.00,0.02
1256,-5.52,-0.17,-0.00,0.02
1257,-5.53,-0.16,-0.00,0.03
1258,-5.55,-0.15,0.00,0.03
1259,-5.56,-0.14,0.01,0.04
1260,-5.58,-0.13,0.01,0.04
1261,-5.59,-0.13,0.01,0.05
1262,-5.60,-0.12,0.02,0.06
1263,-5.62,-0.11,0.02,0.07
1264,-5.63,-0.10,0.03,0.09
1265,-5.64,-0.09,0.04,0.11
1266,-5.65,-0.08,0.05,0.14
1267,-5.65,-0.06,0.07,0.17
1268,-5.66,-0.04,0.08,0.21
1269,-5.66,-0.02,0.10,0.27
1270,-5.66,0.01,0.13,0.33
1271,-5.10,-0.41,-0.02,0.01
1272,-5.14,-0.39,-0.02,0.01
1273,-5.18,-0.36,-0.02,0.01
1274,-5.22,-0.34,-0.02,0.01
1275,-5.25,-0.32,-0.02,0.01
1276,-5.28,-0.30,-0.02,0.01
1277,-5.31,-0.28,-0.02,0.01
1278,-5.34,-0.27,-0.02,0.01
1279,-5.37,-0.25,-0.01,0.01
1280,-5.39,-0.24,-0.01,0.01
1281,-5.42,-0.22,-0.01,0.01
1282,-5.44,-0.21,-0.01,0.01
1283,-5.46,-0.20,-0.01,0.02
1284,-5.48,-0.19,-0.01,0.02
1285,-5.50,-0.18,-0.01,0.02
1286,-5.52,-0.17,-0.00,0.02
1287,-5.53,-0.16,-0.00,0.02
1288,-5.55,-0.15,-0.00,0.02
1289,-5.56,-0.14,0.00,0.03
1290,-5.58,-0.13,0.01,0.03
1291,-5.59,-0.13,0.01,0.04
1292,-5.60,-0.12,0.01,0.05
1293,-5.62,-0.11,0.02,0.06
1294,-5.63,-0.10,0.02,0.07
1295,-5.64,-0.09,0.03,0.09
1296,-5.65,-0.08,0.04,0.11
1297,-5.66,-0.07,0.05,0.13
1298,-5.66,-0.06,0.06,0.16
1299,-5.67,-0.04,0.08,0.20
1300,-5.67,-0.02,0.10,0.25
1301,-5.67,0.01,0.12,0.31
1302,-5.14,-0.39,-0.02,0.01
1303,-5.18,-0.36,-0.02,0.01
1304,-5.22,-0.34,-0.02,0.01
1305,-5.25,-0.32,-0.02,0.01
1306,-5.28,-0.30,-0.02,0.01
1307,-5.31,-0.28,-0.02,0.01
1308,-5.34,-0.27,-0.02,0.01
1309,-5.37,-0.25,-0.01,0.01
1310,-5.39,-0.24,-0.01,0.01
1311,-5.42,-0.22,-0.01,0.01
1312,-5.44,-0.21,-0.01,0.01
1313,-5.46,-0.20,-0.01,0.01
1314,-5.48,-0.19,-0.01,0.01
1315,-5.50,-0.18,-0.01,0.02
1316,-5.52,-0.17,-0.01,0.02
1317,-5.53,-0.16,-0.00,0.02
1318,-5.55,-0.15,-0.00,0.02
1319,-5.56,-0.14,-0.00,0.02
1320,-5.58,-0.13,0.00,0.03
1321,-5.59,-0.13,0.00,0.03
1322,-5.60,-0.12,0.01,0.04
1323,-5.62,-0.11,0.01,0.04
1324,-5.63,-0.11,0.02,0.05
1325,-5.64,-0.10,0.02,0.07
1326,-5.65,-0.09,0.03,0.08
1327,-5.66,-0.08,0.04,0.10
1328,-5.67,-0.07,0.05,0.12
1329,-5.67,-0.05,0.06,0.15
1330,-5.68,-0.04,0.07,0.19
1331,-5.68,-0.01,0.09,0.24
1332,-5.68,0.01,0.12,0.30
1333,-5.18,-0.36,-0.02,0.01
1334,-5.22,-0.34,-0.02,0.01
1335,-5.25,-0.32,-0.02,0.01
1336,-5.28,-0.30,-0.02,0.01
1337,-5.31,-0.29,-0.02,0.01
1338,-5.34,-0.27,-0.02,0.01
1339,-5.37,-0.25,-0.02,0.01
1340,-5.40,-0.24,-0.01,0.01
1341,-5.42,-0.22,-0.01,0.01
1342,-5.44,-0.21,-0.01,0.01
1343,-5.46,-0.20,-0.01,0.01
1344,-5.48,-0.19,-0.01,0.01
1345,-5.50,-0.18,-0.01,0.01
1346,-5.52,-0.17,-0.01,0.01
1347,-5.53,-0.16,-0.01,0.02
1348,-5.55,-0.15,-0.00,0.02
1349,-5.57,-0.14,-0.00,0.02
1350,-5.58,-0.13,-0.00,0.02
1351,-5.59,-0.13,0.00,0.03
1352,-5.61,-0.12,0.00,0.03
1353,-5.62,-0.11,0.01,0.04
1354,-5.63,-0.11,0.01,0.04
1355,-5.64,-0.10,0.02,0.05
1356,-5.65,-0.09,0.02,0.06
1357,-5.66,-0.08,0.03,0.08
1358,-5.67,-0.07,0.03,0.09
1359,-5.67,-0.06,0.04,0.12
1360,-5.68,-0.05,0.06,0.14
1361,-5.69,-0.03,0.07,0.18
1362,-5.69,-0.01,0.09,0.22
1363,-5.69,0.01,0.11,0.28
1364,-5.22,-0.34,-0.02,0.01
1365,-5.25,-0.32,-0.02,0.01
1366,-5.28,-0.31,-0.02,0.01
1367,-5.31,-0.29,-0.02,0.01
1368,-5.34,-0.27,-0.02,0.01
1369,-5.37,-0.25,-0.02,0.01
1370,-5.40,-0.24,-0.01,0.01
1371,-5.42,-0.22,-0.01,0.01
1372,-5.44,-0.21,-0.01,0.01
1373,-5.46,-0.20,-0.01,0.01
1374,-5.48,-0.19,-0.01,0.01
1375,-5.50,-0.18,-0.01,0.01
1376,-5.52,-0.17,-0.01,0.01
1377,-5.54,-0.16,-0.01,0.01
1378,-5.55,-0.15,-0.01,0.01
1379,-5.57,-0.14,-0.00,0.02
1380,-5.58,-0.13,-0.00,0.02
1381,-5.59,-0.13,-0.00,0.02
1382,-5.61,-0.12,0.00,0.02
1383,-5.62,-0.11,0.00,0.03
1384,-5.63,-0.11,0.01,0.03
1385,-5.64,-0.10,0.01,0.04
1386,-5.65,-0.09,0.01,0.05
1387,-5.66,-0.09,0.02,0.06
1388,-5.67,-0.08,0.03,0.07
1389,-5.68,-0.07,0.03,0.09
1390,-5.68,-0.06,0.04,0.11
1391,-5.69,-0.05,0.05,0.14
1392,-5.69,-0.03,0.07,0.17
1393,-5.70,-0.01,0.08,0.21
1394,-5.70,0.01,0.10,0.26
1395,-5.25,-0.32,-0.02,0.01
1396,-5.28,-0.31,-0.02,0.01
1397,-5.31,-0.29,-0.02,0.01
1398,-5.34,-0.27,-0.02,0.01
1399,-5.37,-0.26,-0.02,0.01
1400,-5.40,-0.24,-0.01,0.01
1401,-5.42,-0.23,-0.01,0.01
1402,-5.44,-0.21,-0.01,0.01
1403,-5.46,-0.20,-0.01,0.01
1404,-5.48,-0.19,-0.01,0.01
1405,-5.50,-0.18,-0.01,0.01
1406,-5.52,-0.17,-0.01,0.01
1407,-5.54,-0.16,-0.01,0.01
1408,-5.55,-0.15,-0.01,0.01
1409,-5.57,-0.14,-0.00,0.01
1410,-5.58,-0.13,-0.00,0.02
1411,-5.59,-0.13,-0.00,0.02
1412,-5.61,-0.12,-0.00,0.02
1413,-5.62,-0.11,0.00,0.02
1414,-5.63,-0.11,0.00,0.03
1415,-5.64,-0.10,0.01,0.03
1416,-5.65,-0.10,0.01,0.04
1417,-5.66,-0.09,0.01,0.05
1418,-5.67,-0.08,0.02,0.06
1419,-5.68,-0.08,0.02,0.07
1420,-5.69,-0.07,0.03,0.08
1421,-5.69,-0.06,0.04,0.10
1422,-5.70,-0.04,0.05,0.13
1423,-5.70,-0.03,0.06,0.16
1424,-5.70,-0.01,0.08,0.20
1425,-5.71,0.01,0.10,0.25
1426,-5.28,-0.31,-0.02,0.01
1427,-5.31,-0.29,-0.02,0.01
1428,-5.34,-0.27,-0.02,0.01
1429,-5.37,-0.26,-0.02,0.01
1430,-5.40,-0.24,-0.01,0.01
1431,-5.42,-0.23,-0.01,0.01
1432,-5.44,-0.21,-0.01,0.01
1433,-5.46,-0.20,-0.01,0.01
1434,-5.48,-0.19,-0.01,0.01
1435,-5.50,-0.18,-0.01,0.01
1436,-5.52,-0.17,-0.01,0.01
1437,-5.54,-0.16,-0.01,0.01
1438,-5.55,-0.15,-0.01,0.01
1439,-5.57,-0.14,-0.01,0.01
1440,-5.58,-0.13,-0.00,0.01
1441,-5.60,-0.12,-0.00,0.01
1442,-5.61,-0.12,-0.00,0.02
1443,-5.62,-0.11,-0.00,0.02
1444,-5.63,-0.11,0.00,0.02
1445,-5.64,-0.10,0.00,0.02
1446,-5.65,-0.10,0.01,0.03
1447,-5.66,-0.09,0.01,0.04
1448,-5.67,-0.08,0.01,0.04
1449,-5.68,-0.08,0.02,0.05
1450,-5.69,-0.07,0.02,0.06
1451,-5.69,-0.06,0.03,0.08
1452,-5.70,-0.05,0.04,0.10
1453,-5.70,-0.04,0.05,0.12
1454,-5.71,-0.03,0.06,0.15
1455,-5.71,-0.01,0.07,0.19
1456,-5.71,0.01,0.09,0.24
1457,-5.31,-0.29,-0.02,0.01
1458,-5.34,-0.27,-0.02,0.01
1459,-5.37,-0.26,-0.02,0.01
1460,-5.40,-0.24,-0.01,0.01
1461,-5.42,-0.23,-0.01,0.01
1462,-5.44,-0.21,-0.01,0.01
1463,-5.46,-0.20,-0.01,0.01
1464,-5.48,-0.19,-0.01,0.01
1465,-5.50,-0.18,-0.01,0.01
1466,-5.52,-0.17,-0.01,0.01
1467,-5.54,-0.16,-0.01,0.01
1468,-5.55,-0.15,-0.01,0.01
1469,-5.57,-0.14,-0.01,0.01
1470,-5.58,-0.13,-0.01,0.01
1471,-5.60,-0.12,-0.00,0.01
1472,-5.61,-0.12,-0.00,0.01
1473,-5.62,-0.11,-0.00,0.02
1474,-5.63,-0.11,-0.00,0.02
1475,-5.64,-0.10,0.00,0.02
1476,-5.65,-0.10,0.00,0.02
1477,-5.66,-0.09,0.01,0.03
1478,-5.67,-0.08,0.01,0.03
1479,-5.68,-0.08,0.01,0.04
1480,-5.69,-0.07,0.02,0.05
1481,-5.69,-0.07,0.02,0.06
1482,-5.70,-0.06,0.03,0.07
1483,-5.71,-0.05,0.03,0.09
1484,-5.71,-0.04,0.04,0.11
1485,-5.72,-0.03,0.06,0.14
1486,-5.72,-0.01,0.07,0.18
1487,-5.72,0.01,0.09,0.22
1488,-5.34,-0.27,-0.02,0.01
1489,-5.37,-0.26,-0.02,0.01
1490,-5.40,-0.24,-0.01,0.01
1491,-5.42,-0.23,-0.01,0.01
1492,-5.44,-0.21,-0.01,0.01
1493,-5.47,-0.20,-0.01,0.01
1494,-5.49,-0.19,-0.01,0.01
1495,-5.50,-0.18,-0.01,0.01
1496,-5.52,-0.17,-0.01,0.01
1497,-5.54,-0.16,-0.01,0.01
1498,-5.55,-0.15,-0.01,0.01
1499,-5.57,-0.14,-0.01,0.01
1500,-5.58,-0.13,-0.01,0.01
1501,-5.60,-0.12,-0.01,0.01
1502,-5.61,-0.12,-0.00,0.01
1503,-5.62,-0.11,-0.00,0.01
1504,-5.63,-0.11,-0.00,0.01
1505,-5.64,-0.10,-0.00,0.02
1506,-5.65,-0.09,0.00,0.02
1507,-5.66,-0.09,0.00,0.02
1508,-5.67,-0.08,0.01,0.03
1509,-5.68,-0.08,0.01,0.03
1510,-5.69,-0.07,0.01,0.04
1511,-5.69,-0.07,0.02,0.05
1512,-5.70,-0.06,0.02,0.06
1513,-5.71,-0.06,0.03,0.07
1514,-5.71,-0.05,0.03,0.09
1515,-5.72,-0.04,0.04,0.11
1516,-5.72,-0.03,0.05,0.13
1517,-5.72,-0.01,0.07,0.17
1518,-5.73,0.01,0.08,0.21
1519,-5.37,-0.26,-0.02,0.01
1520,-5.40,-0.24,-0.01,0.01
1521,-5.42,-0.23,-0.01,0.01
1522,-5.44,-0.22,-0.01,0.01
1523,-5.47,-0.20,-0.01,0.01
1524,-5.49,-0.19,-0.01,0.01
1525,-5.50,-0.18,-0.01,0.01
1526,-5.52,-0.17,-0.01,0.01
1527,-5.54,-0.16,-0.01,0.01
1528,-5.56,-0.15,-0.01,0.01
1529,-5.57,-0.14,-0.01,0.01
1530,-5.58,-0.13,-0.01,0.01
1531,-5.60,-0.12,-0.01,0.01
1532,-5.61,-0.12,-0.00,0.01
1533,-5.62,-0.11,-0.00,0.01
1534,-5.63,-0.11,-0.00,0.01
1535,-5.64,-0.10,-0.00,0.01
1536,-5.65,-0.09,-0.00,0.02
1537,-5.66,-0.09,0.00,0.02
1538,-5.67,-0.08,0.00,0.02
1539,-5.68,-0.08,0.01,0.02
1540,-5.69,-0.08,0.01,0.03
1541,-5.70,-0.07,0.01,0.04
1542,-5.70,-0.07,0.01,0.04
1543,-5.71,-0.06,0.02,0.05
1544,-5.72,-0.05,0.02,0.07
1545,-5.72,-0.05,0.03,0.08
1546,-5.72,-0.04,0.04,0.10
1547,-5.73,-0.02,0.05,0.13
1548,-5.73,-0.01,0.06,0.16
1549,-5.73,0.01,0.08,0.20
1550,-5.40,-0.24,-0.01,0.01
1551,-5.42,-0.23,-0.01,0.01
1552,-5.44,-0.22,-0.01,0.01
1553,-5.47,-0.20,-0.01,0.01
1554,-5.49,-0.19,-0.01,0.01
1555,-5.50,-0.18,-0.01,0.01
1556,-5.52,-0.17,-0.01,0.01
1557,-5.54,-0.16,-0.01,0.01
1558,-5.56,-0.15,-0.01,0.01
1559,-5.57,-0.14,-0.01,0.01
1560,-5.58,-0.13,-0.01,0.01
1561,-5.60,-0.12,-0.01,0.01
1562,-5.61,-0.12,-0.01,0.01
1563,-5.62,-0.11,-0.00,0.01
1564,-5.63,-0.10,-0.00,0.01
1565,-5.64,-0.10,-0.00,0.01
1566,-5.65,-0.09,-0.00,0.01
1567,-5.66,-0.09,-0.00,0.01
1568,-5.67,-0.08,0.00,0.02
1569,-5.68,-0.08,0.00,0.02
1570,-5.69,-0.08,0.01,0.02
1571,-5.70,-0.07,0.01,0.03
1572,-5.70,-0.07,0.01,0.03
1573,-5.71,-0.06,0.01,0.04
1574,-5.72,-0.06,0.02,0.05
1575,-5.72,-0.05,0.02,0.06
1576,-5.73,-0.04,0.03,0.08
1577,-5.73,-0.03,0.04,0.10
1578,-5.73,-0.02,0.05,0.12
1579,-5.74,-0.01,0.06,0.15
1580,-5.74,0.01,0.07,0.19
1581,-5.42,-0.23,-0.01,0.01
1582,-5.44,-0.22,-0.01,0.01
1583,-5.47,-0.20,-0.01,0.01
1584,-5.49,-0.19,-0.01,0.01
1585,-5.51,-0.18,-0.01,0.01
1586,-5.52,-0.17,-0.01,0.01
1587,-5.54,-0.16,-0.01,0.01
1588,-5.56,-0.15,-0.01,0.01
1589,-5.57,-0.14,-0.01,0.01
1590,-5.59,-0.13,-0.01,0.01
1591,-5.60,-0.12,-0.01,0.01
1592,-5.61,-0.12,-0.01,0.01
1593,-5.62,-0.11,-0.01,0.01
1594,-5.63,-0.10,-0.00,0.01
1595,-5.64,-0.10,-0.00,0.01
1596,-5.65,-0.09,-0.00,0.01
1597,-5.66,-0.09,-0.00,0.01
1598,-5.67,-0.08,-0.00,0.01
1599,-5.68,-0.08,0.00,0.02
1600,-5.69,-0.08,0.00,0.02
1601,-5.70,-0.07,0.00,0.02
1602,-5.70,-0.07,0.01,0.03
1603,-5.71,-0.06,0.01,0.03
1604,-5.72,-0.06,0.01,0.04
1605,-5.72,-0.05,0.02,0.05
1606,-5.73,-0.05,0.02,0.06
1607,-5.73,-0.04,0.03,0.07
1608,-5.74,-0.03,0.03,0.09
1609,-5.74,-0.02,0.04,0.11
1610,-5.74,-0.01,0.06,0.14
1611,-5.74,0.01,0.07,0.18
1612,-5.44,-0.22,-0.01,0.01
1613,-5.47,-0.20,-0.01,0.01
1614,-5.49,-0.19,-0.01,0.01
1615,-5.51,-0.18,-0.01,0.01
1616,-5.52,-0.17,-0.01,0.01
1617,-5.54,-0.16,-0.01,0.01
1618,-5.56,-0.15,-0.01,0.01
1619,-5.57,-0.14,-0.01,0.01
1620,-5.59,-0.13,-0.01,0.01
1621,-5.60,-0.13,-0.01,0.01
1622,-5.61,-0.12,-0.01,0.01
1623,-5.62,-0.11,-0.01,0.01
1624,-5.63,-0.10,-0.00,0.01
1625,-5.64,-0.10,-0.00,0.01
1626,-5.65,-0.09,-0.00,0.01
1627,-5.66,-0.09,-0.00,0.01
1628,-5.67,-0.08,-0.00,0.01
1629,-5.68,-0.08,-0.00,0.01
1630,-5.69,-0.08,0.00,0.02
1631,-5.70,-0.07,0.00,0.02
1632,-5.70,-0.07,0.00,0.02
1633,-5.71,-0.06,0.01,0.03
1634,-5.72,-0.06,0.01,0.03
1635,-5.72,-0.06,0.01,0.04
1636,-5.73,-0.05,0.02,0.05
1637,-5.73,-0.04,0.02,0.06
1638,-5.74,-0.04,0.03,0.07
1639,-5.74,-0.03,0.03,0.09
1640,-5.74,-0.02,0.04,0.11
1641,-5.75,-0.01,0.05,0.13
1642,-5.75,0.01,0.07,0.17
1643,-5.47,-0.20,-0.01,0.01
1644,-5.49,-0.19,-0.01,0.01
1645,-5.51,-0.18,-0.01,0.01
1646,-5.52,-0.17,-0.01,0.01
1647,-5.54,-0.16,-0.01,0.01
1648,-5.56,-0.15,-0.01,0.01
1649,-5.57,-0.14,-0.01,0.01
1650,-5.59,-0.13,-0.01,0.01
1651,-5.60,-0.13,-0.01,0.01
1652,-5.61,-0.12,-0.01,0.01
1653,-5.62,-0.11,-0.01,0.01
1654,-5.63,-0.10,-0.01,0.01
1655,-5.65,-0.10,-0.00,0.01
1656,-5.66,-0.09,-0.00,0.01
1657,-5.66,-0.09,-0.00,0.01
1658,-5.67,-0.08,-0.00,0.01
1659,-5.68,-0.08,-0.00,0.01
1660,-5.69,-0.08,-0.00,0.01
1661,-5.70,-0.07,0.00,0.01
1662,-5.70,-0.07,0.00,0.02
1663,-5.71,-0.06,0.00,0.02
1664,-5.72,-0.06,0.01,0.02
1665,-5.72,-0.06,0.01,0.03
1666,-5.73,-0.05,0.01,0.04
1667,-5.73,-0.05,0.01,0.04
1668,-5.74,-0.04,0.02,0.05
1669,-5.74,-0.04,0.02,0.07
1670,-5.75,-0.03,0.03,0.08
1671,-5.75,-0.02,0.04,0.10
1672,-5.75,-0.01,0.05,0.13
1673,-5.75,0.01,0.06,0.16
1674,-5.49,-0.19,-0.01,0.01
1675,-5.51,-0.18,-0.01,0.01
1676,-5.52,-0.17,-0.01,0.01
1677,-5.54,-0.16,-0.01,0.01
1678,-5.56,-0.15,-0.01,0.01
1679,-5.57,-0.14,-0.01,0.01
1680,-5.59,-0.13,-0.01,0.01
1681,-5.60,-0.13,-0.01,0.01
1682,-5.61,-0.12,-0.01,0.01
1683,-5.62,-0.11,-0.01,0.01
1684,-5.64,-0.10,-0.01,0.01
1685,-5.65,-0.10,-0.00,0.01
1686,-5.66,-0.09,-0.00,0.01
1687,-5.67,-0.09,-0.00,0.01
1688,-5.67,-0.08,-0.00,0.01
1689,-5.68,-0.08,-0.00,0.01
1690,-5.69,-0.07,-0.00,0.01
1691,-5.70,-0.07,-0.00,0.01
1692,-5.70,-0.07,0.00,0.01
1693,-5.71,-0.06,0.00,0.02
1694,-5.72,-0.06,0.00,0.02
1695,-5.72,-0.06,0.01,0.02
1696,-5.73,-0.05,0.01,0.03
1697,-5.73,-0.05,0.01,0.03
1698,-5.74,-0.04,0.01,0.04
1699,-5.74,-0.04,0.02,0.05
1700,-5.75,-0.03,0.02,0.06
1701,-5.75,-0.03,0.03,0.08
1702,-5.75,-0.02,0.04,0.10
1703,-5.76,-0.01,0.05,0.12
1704,-5.76,0.01,0.06,0.15
1705,-5.51,-0.18,-0.01,0.01
1706,-5.52,-0.17,-0.01,0.01
1707,-5.54,-0.16,-0.01,0.01
1708,-5.56,-0.15,-0.01,0.01
