,u
1227,0.00
1228,-0.00
1229,-0.00
1230,0.30
1231,0.29
1232,0.28
1233,0.27
1234,0.25
1235,0.24
1236,0.22
1237,0.21
1238,0.19
1239,0.18
1240,0.16
1241,0.15
1242,0.14
1243,0.12
1244,0.11
1245,0.10
1246,0.09
1247,0.08
1248,0.07
1249,0.06
1250,0.05
1251,0.04
1252,0.03
1253,0.02
1254,0.02
1255,0.01
1256,0.01
1257,0.00
1258,-0.00
1259,-0.00
1260,0.28
1261,0.27
1262,0.26
1263,0.25
1264,0.24
1265,0.22
1266,0.21
1267,0.19
1268,0.18
1269,0.17
1270,0.15
1271,0.14
1272,0.13
1273,0.12
1274,0.11
1275,0.09
1276,0.08
1277,0.07
1278,0.06
1279,0.06
1280,0.05
1281,0.04
1282,0.03
1283,0.02
1284,0.02
1285,0.01
1286,0.01
1287,0.00
1288,-0.00
1289,-0.00
1290,0.27
1291,0.26
1292,0.25
1293,0.24
1294,0.22
1295,0.21
1296,0.20
1297,0.18
1298,0.17
1299,0.16
1300,0.15
1301,0.13
1302,0.12
1303,0.11
1304,0.10
1305,0.09
1306,0.08
1307,0.07
1308,0.06
1309,0.05
1310,0.04
1311,0.04
1312,0.03
1313,0.02
1314,0.02
1315,0.01
1316,0.01
1317,0.00
1318,-0.00
1319,-0.00
1320,0.25
1321,0.24
1322,0.23
1323,0.22
1324,0.21
1325,0.20
1326,0.19
1327,0.17
1328,0.16
1329,0.15
1330,0.14
1331,0.13
1332,0.11
1333,0.10
1334,0.09
1335,0.08
1336,0.07
1337,0.07
1338,0.06
1339,0.05
1340,0.04
1341,0.03
1342,0.03
1343,0.02
1344,0.01
1345,0.01
1346,0.01
1347,0.00
1348,-0.00
1349,-0.00
1350,0.24
1351,0.23
1352,0.22
1353,0.21
1354,0.20
1355,0.19
1356,0.18
1357,0.16
1358,0.15
1359,0.14
1360,0.13
1361,0.12
1362,0.11
1363,0.10
1364,0.09
1365,0.08
1366,0.07
1367,0.06
1368,0.05
1369,0.05
1370,0.04
1371,0.03
1372,0.03
1373,0.02
1374,0.01
1375,0.01
1376,0.00
1377,0.00
1378,-0.00
1379,-0.00
1380,0.23
1381,0.22
1382,0.21
1383,0.20
1384,0.19
1385,0.18
1386,0.17
1387,0.15
1388,0.14
1389,0.13
1390,0.12
1391,0.11
1392,0.10
1393,0.09
1394,0.08
1395,0.07
1396,0.07
1397,0.06
1398,0.05
1399,0.04
1400,0.04
1401,0.03
1402,0.02
1403,0.02
1404,0.01
1405,0.01
1406,0.00
1407,0.00
1408,-0.00
1409,-0.00
1410,0.21
1411,0.21
1412,0.20
1413,0.19
1414,0.18
1415,0.17
1416,0.16
1417,0.15
1418,0.14
1419,0.13
1420,0.12
1421,0.11
1422,0.10
1423,0.09
1424,0.08
1425,0.07
1426,0.06
1427,0.06
1428,0.05
1429,0.04
1430,0.03
1431,0.03
1432,0.02
1433,0.02
1434,0.01
1435,0.01
1436,0.00
1437,0.00
1438,-0.00
1439,-0.00
1440,0.20
1441,0.19
1442,0.19
1443,0.18
1444,0.17
1445,0.16
1446,0.15
1447,0.14
1448,0.13
1449,0.12
1450,0.11
1451,0.10
1452,0.09
1453,0.08
1454,0.07
1455,0.07
1456,0.06
1457,0.05
1458,0.05
1459,0.04
1460,0.03
1461,0.03
1462,0.02
1463,0.02
1464,0.01
1465,0.01
1466,0.00
1467,0.00
1468,-0.00
1469,-0.00
1470,0.19
1471,0.18
1472,0.18
1473,0.17
1474,0.16
1475,0.15
1476,0.14
1477,0.13
1478,0.12
1479,0.11
1480,0.10
1481,0.09
1482,0.09
1483,0.08
1484,0.07
1485,0.06
1486,0.06
1487,0.05
1488,0.04
1489,0.04
1490,0.03
1491,0.03
1492,0.02
1493,0.02
1494,0.01
1495,0.01
1496,0.00
1497,0.00
1498,-0.00
1499,-0.00
1500,0.18
1501,0.17
1502,0.17
1503,0.16
1504,0.15
1505,0.14
1506,0.13
1507,0.12
1508,0.11
1509,0.11
1510,0.10
1511,0.09
1512,0.08
1513,0.07
1514,0.07
1515,0.06
1516,0.05
1517,0.05
1518,0.04
1519,0.03
1520,0.03
1521,0.02
1522,0.02
1523,0.01
1524,0.01
1525,0.01
1526,0.00
1527,0.00
1528,-0.00
1529,-0.00
1530,0.17
1531,0.16
1532,0.16
1533,0.15
1534,0.14
1535,0.13
1536,0.12
1537,0.12
1538,0.11
1539,0.10
1540,0.09
1541,0.08
1542,0.08
1543,0.07
1544,0.06
1545,0.06
1546,0.05
1547,0.04
1548,0.04
1549,0.03
1550,0.03
1551,0.02
1552,0.02
1553,0.01
1554,0.01
1555,0.01
1556,0.00
1557,0.00
1558,-0.00
1559,-0.00
1560,0.16
1561,0.15
1562,0.15
1563,0.14
1564,0.13
1565,0.13
1566,0.12
1567,0.11
1568,0.10
1569,0.09
1570,0.09
1571,0.08
1572,0.07
1573,0.07
1574,0.06
1575,0.05
1576,0.05
1577,0.04
1578,0.04
1579,0.03
1580,0.03
1581,0.02
1582,0.02
1583,0.01
1584,0.01
1585,0.01
1586,0.00
1587,0.00
1588,-0.00
1589,-0.00
1590,0.15
1591,0.15
1592,0.14
1593,0.13
1594,0.13
1595,0.12
1596,0.11
1597,0.10
1598,0.10
1599,0.09
1600,0.08
1601,0.07
1602,0.07
1603,0.06
1604,0.06
1605,0.05
1606,0.04
1607,0.04
1608,0.03
1609,0.03
1610,0.02
1611,0.02
1612,0.02
1613,0.01
1614,0.01
1615,0.01
1616,0.00
1617,0.00
1618,-0.00
1619,-0.00
1620,0.14
1621,0.14
1622,0.13
1623,0.13
1624,0.12
1625,0.11
1626,0.10
1627,0.10
1628,0.09
1629,0.08
1630,0.08
1631,0.07
1632,0.06
1633,0.06
1634,0.05
1635,0.05
1636,0.04
1637,0.04
1638,0.03
1639,0.03
1640,0.02
1641,0.02
1642,0.02
1643,0.01
1644,0.01
1645,0.01
1646,0.00
1647,0.00
1648,-0.00
1649,-0.00
1650,0.13
1651,0.13
1652,0.12
1653,0.12
1654,0.11
1655,0.11
1656,0.10
1657,0.09
1658,0.09
1659,0.08
1660,0.07
1661,0.07
1662,0.06
1663,0.06
1664,0.05
1665,0.04
1666,0.04
1667,0.03
1668,0.03
1669,0.03
1670,0.02
1671,0.02
1672,0.01
1673,0.01
1674,0.01
1675,0.01
1676,0.00
1677,0.00
1678,-0.00
1679,-0.00
1680,0.13
1681,0.12
1682,0.12
1683,0.11
1684,0.11
1685,0.10
1686,0.09
1687,0.09
1688,0.08
1689,0.07
1690,0.07
1691,0.06
1692,0.06
1693,0.05
1694,0.05
1695,0.04
1696,0.04
1697,0.03
1698,0.03
1699,0.02
1700,0.02
1701,0.02
1702,0.01
1703,0.01
1704,0.01
1705,0.00
1706,0.00
1707,0.00
1708,-0.00
1709,-0.00
1710,0.12
1711,0.12
1712,0.11
1713,0.11
1714,0.10
1715,0.09
1716,0.09
1717,0.08
1718,0.08
1719,0.07
1720,0.06
1721,0.06
1722,0.05
